area,day,label
춘천,2023-01-15,9
춘천,2023-01-16,12
춘천,2023-01-17,9
춘천,2023-01-18,9
춘천,2023-01-19,9
춘천,2023-01-20,12
춘천,2023-01-21,12
춘천,2023-01-22,9
춘천,2023-01-23,9
춘천,2023-01-24,12
춘천,2023-01-25,12
춘천,2023-01-26,12
춘천,2023-01-27,12
춘천,2023-01-28,12
춘천,2023-01-29,12
춘천,2023-01-30,9
춘천,2023-01-31,9
춘천,2023-02-01,3
춘천,2023-02-02,3
춘천,2023-02-03,3
춘천,2023-02-04,3
춘천,2023-02-05,3
춘천,2023-02-06,3
춘천,2023-02-07,3
춘천,2023-02-08,3
춘천,2023-02-09,3
춘천,2023-02-10,3
춘천,2023-02-11,3
춘천,2023-02-12,3
춘천,2023-02-13,5
춘천,2023-02-14,3
춘천,2023-02-15,3
춘천,2023-02-16,3
춘천,2023-02-17,3
춘천,2023-02-18,3
춘천,2023-02-19,3
춘천,2023-02-20,3
춘천,2023-02-21,3
춘천,2023-02-22,3
춘천,2023-02-23,3
춘천,2023-02-24,3
춘천,2023-02-25,3
춘천,2023-02-26,3
춘천,2023-02-27,5
춘천,2023-02-28,3
춘천,2023-03-01,5
춘천,2023-03-02,3
춘천,2023-03-03,3
춘천,2023-03-04,5
춘천,2023-03-05,5
춘천,2023-03-06,5
춘천,2023-03-07,14
춘천,2023-03-08,14
춘천,2023-03-09,14
춘천,2023-03-10,14
춘천,2023-03-11,14
춘천,2023-03-12,5
춘천,2023-03-13,3
춘천,2023-03-14,5
춘천,2023-03-15,5
춘천,2023-03-16,5
춘천,2023-03-17,5
춘천,2023-03-18,5
춘천,2023-03-19,5
춘천,2023-03-20,14
춘천,2023-03-21,14
춘천,2023-03-22,4
춘천,2023-03-23,4
춘천,2023-03-24,14
춘천,2023-03-25,14
춘천,2023-03-26,14
춘천,2023-03-27,5
춘천,2023-03-28,5
춘천,2023-03-29,14
춘천,2023-03-30,14
춘천,2023-03-31,4
춘천,2023-04-01,4
춘천,2023-04-02,4
춘천,2023-04-03,4
춘천,2023-04-04,4
춘천,2023-04-05,14
춘천,2023-04-06,14
춘천,2023-04-07,5
춘천,2023-04-08,5
춘천,2023-04-09,14
춘천,2023-04-10,14
춘천,2023-04-11,14
춘천,2023-04-12,14
춘천,2023-04-13,14
춘천,2023-04-14,4
춘천,2023-04-15,14
춘천,2023-04-16,14
춘천,2023-04-17,14
춘천,2023-04-18,14
춘천,2023-04-19,11
춘천,2023-04-20,4
춘천,2023-04-21,4
춘천,2023-04-22,4
춘천,2023-04-23,4
춘천,2023-04-24,4
춘천,2023-04-25,14
춘천,2023-04-26,14
춘천,2023-04-27,14
춘천,2023-04-28,4
춘천,2023-04-29,4
춘천,2023-04-30,4
춘천,2023-05-01,4
춘천,2023-05-02,4
춘천,2023-05-03,4
춘천,2023-05-04,11
춘천,2023-05-05,4
춘천,2023-05-06,14
춘천,2023-05-07,14
춘천,2023-05-08,4
춘천,2023-05-09,4
춘천,2023-05-10,4
춘천,2023-05-11,11
춘천,2023-05-12,4
춘천,2023-05-13,4
춘천,2023-05-14,4
춘천,2023-05-15,11
춘천,2023-05-16,11
춘천,2023-05-17,11
춘천,2023-05-18,11
춘천,2023-05-19,11
춘천,2023-05-20,11
춘천,2023-05-21,11
춘천,2023-05-22,11
춘천,2023-05-23,11
춘천,2023-05-24,11
춘천,2023-05-25,11
춘천,2023-05-26,11
춘천,2023-05-27,11
춘천,2023-05-28,11
춘천,2023-05-29,11
춘천,2023-05-30,11
춘천,2023-05-31,11
춘천,2023-06-01,11
춘천,2023-06-02,7
춘천,2023-06-03,7
춘천,2023-06-04,7
춘천,2023-06-05,7
춘천,2023-06-06,7
춘천,2023-06-07,7
춘천,2023-06-08,7
춘천,2023-06-09,7
춘천,2023-06-10,7
춘천,2023-06-11,7
춘천,2023-06-12,7
춘천,2023-06-13,7
강릉,2022-06-15,7
강릉,2022-06-16,7
강릉,2022-06-17,0
강릉,2022-06-18,0
강릉,2022-06-19,0
강릉,2022-06-20,0
강릉,2022-06-21,0
강릉,2022-06-22,0
강릉,2022-06-23,0
강릉,2022-06-24,0
강릉,2022-06-25,0
강릉,2022-06-26,0
강릉,2022-06-27,0
강릉,2022-06-28,0
강릉,2022-06-29,0
강릉,2022-06-30,0
강릉,2022-07-01,0
강릉,2022-07-02,0
강릉,2022-07-03,0
강릉,2022-07-04,0
강릉,2022-07-05,0
강릉,2022-07-06,0
강릉,2022-07-07,0
강릉,2022-07-08,0
강릉,2022-07-09,0
강릉,2022-07-10,0
강릉,2022-07-11,7
강릉,2022-07-12,7
강릉,2022-07-13,7
강릉,2022-07-14,7
강릉,2022-07-15,7
강릉,2022-07-16,0
강릉,2022-07-17,0
강릉,2022-07-18,0
강릉,2022-07-19,0
강릉,2022-07-20,0
강릉,2022-07-21,7
강릉,2022-07-22,7
강릉,2022-07-23,7
강릉,2022-07-24,0
강릉,2022-07-25,0
강릉,2022-07-26,7
강릉,2022-07-27,0
강릉,2022-07-28,0
강릉,2022-07-29,0
강릉,2022-07-30,0
강릉,2022-07-31,0
강릉,2022-08-01,0
강릉,2022-08-02,8
강릉,2022-08-03,8
강릉,2022-08-04,8
강릉,2022-08-05,8
강릉,2022-08-06,8
강릉,2022-08-07,8
강릉,2022-08-08,8
강릉,2022-08-09,8
강릉,2022-08-10,10
강릉,2022-08-11,10
강릉,2022-08-12,8
강릉,2022-08-13,8
강릉,2022-08-14,8
강릉,2022-08-15,8
강릉,2022-08-16,8
강릉,2022-08-17,10
강릉,2022-08-18,8
강릉,2022-08-19,8
강릉,2022-08-20,10
강릉,2022-08-21,8
강릉,2022-08-22,8
강릉,2022-08-23,10
강릉,2022-08-24,10
강릉,2022-08-25,10
강릉,2022-08-26,10
강릉,2022-08-27,10
강릉,2022-08-28,10
강릉,2022-08-29,10
강릉,2022-08-30,6
강릉,2022-08-31,6
강릉,2022-09-01,10
강릉,2022-09-02,10
강릉,2022-09-03,10
강릉,2022-09-04,10
강릉,2022-09-05,10
강릉,2022-09-06,10
강릉,2022-09-07,10
강릉,2022-09-08,10
강릉,2022-09-09,10
강릉,2022-09-10,10
강릉,2022-09-11,10
강릉,2022-09-12,10
강릉,2022-09-13,10
강릉,2022-09-14,10
강릉,2022-09-15,10
강릉,2022-09-16,10
강릉,2022-09-17,10
강릉,2022-09-18,10
강릉,2022-09-19,6
강릉,2022-09-20,6
강릉,2022-09-21,6
강릉,2022-09-22,6
강릉,2022-09-23,6
강릉,2022-09-24,6
강릉,2022-09-25,6
강릉,2022-09-26,6
강릉,2022-09-27,6
강릉,2022-09-28,6
강릉,2022-09-29,10
강릉,2022-09-30,10
강릉,2022-10-01,10
강릉,2022-10-02,6
강릉,2022-10-03,6
강릉,2022-10-04,6
강릉,2022-10-05,2
강릉,2022-10-06,2
강릉,2022-10-07,2
강릉,2022-10-08,2
강릉,2022-10-09,2
강릉,2022-10-10,2
강릉,2022-10-11,2
강릉,2022-10-12,2
강릉,2022-10-13,6
강릉,2022-10-14,6
강릉,2022-10-15,6
강릉,2022-10-16,6
강릉,2022-10-17,2
강릉,2022-10-18,13
강릉,2022-10-19,2
강릉,2022-10-20,2
강릉,2022-10-21,6
강릉,2022-10-22,6
강릉,2022-10-23,2
강릉,2022-10-24,13
강릉,2022-10-25,13
강릉,2022-10-26,2
강릉,2022-10-27,2
강릉,2022-10-28,2
강릉,2022-10-29,2
강릉,2022-10-30,2
강릉,2022-10-31,2
강릉,2022-11-01,2
강릉,2022-11-02,2
강릉,2022-11-03,2
