                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.94395,                 1.9965,                 1.3475,                 1.1787,                0.71491,                0.73893,                0.77434,                0.57638,                 0.7121,                0.73069,                0.76234,                0.52329,                0.88426,                 1.8302,                0.99977,                 1.2221,               0.007822,               0.007822,               0.007822
                     24,                0.94336,                 1.9928,                 1.3405,                 1.1801,                0.70979,                0.71161,                0.76325,                0.57335,                0.70707,                0.70537,                0.75386,                0.51888,                0.86865,                 1.8234,                 1.0018,                 1.2137,               0.007723,               0.007723,               0.007723
                     25,                0.93758,                  1.995,                 1.3214,                 1.1772,                0.72042,                0.73769,                0.78032,                0.58458,                0.72426,                0.72572,                0.76853,                0.53293,                0.86703,                  1.804,                0.95198,                 1.2075,               0.007624,               0.007624,               0.007624
                     26,                0.93284,                 1.9783,                 1.3185,                 1.1726,                0.71143,                0.74251,                0.77552,                0.58174,                0.70881,                0.73596,                0.76375,                0.52317,                0.85192,                 1.8194,                 0.9598,                 1.1973,               0.007525,               0.007525,               0.007525
                     27,                0.93449,                 1.9775,                 1.3235,                 1.1753,                0.72447,                0.75528,                0.79047,                  0.595,                0.71945,                0.75046,                0.78028,                0.54002,                  0.837,                 1.7917,                 0.9216,                 1.1925,               0.007426,               0.007426,               0.007426
                     28,                0.92547,                 1.9689,                  1.299,                 1.1651,                0.72703,                0.75076,                0.79098,                0.59701,                 0.7243,                0.74357,                0.77952,                0.54719,                0.84056,                  1.766,                0.94107,                 1.1922,               0.007327,               0.007327,               0.007327
                     29,                0.92898,                 1.9775,                 1.3003,                  1.171,                0.73349,                0.73971,                0.79243,                 0.6024,                0.72841,                0.73348,                0.78272,                0.55088,                0.83676,                 1.7704,                0.91188,                 1.1863,               0.007228,               0.007228,               0.007228
                     30,                0.92821,                 1.9556,                 1.2984,                  1.172,                0.73904,                0.75526,                0.80113,                0.60768,                0.73548,                0.75015,                0.79074,                0.55184,                0.82789,                 1.7526,                 0.9098,                 1.1824,               0.007129,               0.007129,               0.007129
                     31,                0.91801,                 1.9713,                 1.2833,                 1.1619,                0.74265,                0.75504,                0.80126,                0.61326,                0.73634,                0.74917,                0.79059,                0.55044,                0.80728,                  1.757,                0.90375,                 1.1681,                0.00703,                0.00703,                0.00703
                     32,                0.90952,                 1.9436,                 1.2748,                 1.1606,                  0.742,                0.75487,                0.80185,                0.60656,                0.73746,                0.74998,                0.79168,                  0.547,                0.82125,                 1.7543,                0.89664,                 1.1802,               0.006931,               0.006931,               0.006931
                     33,                 0.9127,                  1.944,                 1.2764,                 1.1609,                  0.749,                0.75937,                0.80827,                0.61847,                0.74721,                0.75407,                0.79991,                0.55698,                0.80988,                 1.7528,                0.88861,                 1.1706,               0.006832,               0.006832,               0.006832
                     34,                0.90863,                 1.9416,                 1.2656,                 1.1607,                0.76658,                0.76127,                0.81364,                0.62476,                0.76843,                0.75228,                0.80613,                0.56906,                0.80906,                 1.7262,                 0.8577,                 1.1734,               0.006733,               0.006733,               0.006733
                     35,                0.90763,                 1.9318,                 1.2666,                 1.1576,                0.75197,                0.77111,                0.81928,                0.62781,                0.75024,                0.76637,                0.81028,                0.56749,                0.80234,                 1.7113,                0.85945,                 1.1666,               0.006634,               0.006634,               0.006634
                     36,                0.90499,                 1.9303,                 1.2665,                 1.1586,                0.74886,                0.76721,                0.80777,                0.62193,                0.74886,                0.75745,                  0.797,                0.55968,                0.80101,                 1.7437,                0.86022,                 1.1641,               0.006535,               0.006535,               0.006535
                     37,                0.90847,                 1.9283,                 1.2571,                 1.1563,                  0.741,                0.77698,                0.82057,                0.63001,                0.74163,                0.76182,                0.80781,                0.57153,                0.80169,                 1.6892,                0.84146,                 1.1636,               0.006436,               0.006436,               0.006436
                     38,                 0.8991,                  1.922,                  1.249,                 1.1538,                0.76556,                0.76853,                0.82265,                0.63209,                0.77081,                0.75724,                0.81254,                0.57281,                0.79807,                 1.6941,                0.83469,                 1.1625,               0.006337,               0.006337,               0.006337
                     39,                0.89923,                 1.9293,                 1.2458,                 1.1556,                0.76305,                0.77253,                0.82475,                0.63543,                0.75909,                0.76708,                 0.8125,                0.57386,                0.79052,                 1.7031,                0.83768,                 1.1552,               0.006238,               0.006238,               0.006238
                     40,                0.90079,                 1.9213,                 1.2497,                 1.1524,                 0.7613,                0.77195,                0.82625,                0.64162,                0.76746,                0.75606,                0.81463,                0.57973,                0.78133,                 1.6843,                  0.817,                 1.1491,               0.006139,               0.006139,               0.006139
                     41,                 0.8968,                 1.9144,                 1.2327,                  1.152,                 0.7614,                0.78846,                0.83589,                0.65057,                0.76629,                0.77779,                0.82665,                0.58641,                0.77819,                 1.6773,                0.80179,                 1.1453,                0.00604,                0.00604,                0.00604
                     42,                0.89438,                 1.9223,                 1.2442,                  1.148,                0.76639,                0.77935,                0.83202,                0.64269,                0.76255,                0.77359,                0.82176,                0.58317,                   0.78,                 1.6748,                0.81595,                 1.1428,               0.005941,               0.005941,               0.005941
                     43,                0.89004,                 1.9116,                 1.2253,                  1.149,                0.77067,                0.78762,                0.83707,                0.65174,                0.76691,                0.78285,                0.82835,                0.59025,                0.78139,                  1.664,                 0.7948,                 1.1459,               0.005842,               0.005842,               0.005842
                     44,                 0.8941,                 1.9108,                 1.2257,                 1.1506,                0.77093,                0.77571,                 0.8364,                0.64863,                0.76706,                0.77071,                0.82715,                 0.5901,                0.77639,                 1.6543,                 0.7962,                 1.1438,               0.005743,               0.005743,               0.005743
                     45,                0.88234,                 1.8951,                 1.2125,                 1.1447,                0.77159,                0.79299,                0.83977,                0.65441,                0.76852,                 0.7903,                0.83119,                0.59116,                0.76935,                 1.6522,                0.78615,                 1.1412,               0.005644,               0.005644,               0.005644
                     46,                0.88289,                  1.904,                 1.2084,                 1.1424,                0.78284,                0.79539,                0.84583,                0.65984,                0.78686,                0.78426,                0.83673,                0.59735,                0.76239,                 1.6507,                0.77624,                 1.1358,               0.005545,               0.005545,               0.005545
                     47,                0.88203,                 1.9065,                 1.2054,                 1.1431,                0.77933,                0.79337,                0.84393,                0.65683,                0.77603,                0.78917,                0.83552,                0.59406,                0.76463,                 1.6519,                0.77694,                 1.1369,               0.005446,               0.005446,               0.005446
                     48,                0.87744,                 1.8918,                 1.1965,                 1.1394,                 0.7787,                0.79516,                0.84519,                0.65784,                0.77335,                0.79019,                0.83768,                0.59732,                0.76725,                 1.6495,                0.77095,                 1.1404,               0.005347,               0.005347,               0.005347
                     49,                0.87976,                 1.8942,                 1.1953,                 1.1398,                0.78786,                0.78216,                0.84495,                0.66116,                 0.7825,                0.77692,                0.83503,                0.59612,                0.76367,                 1.6409,                0.77343,                  1.136,               0.005248,               0.005248,               0.005248
                     50,                0.87981,                 1.8889,                  1.193,                 1.1397,                0.78362,                0.80002,                0.85068,                0.66456,                0.78337,                 0.7903,                0.84125,                0.60218,                0.76465,                 1.6361,                0.75828,                  1.134,               0.005149,               0.005149,               0.005149
