area,day,ap_tmp,sin,dif
전주,2021-09-30,24.34301787081892,-0.9998510240408494,-10.3
전주,2021-10-01,23.861698511493202,-1.0,-11.899999999999999
전주,2021-10-02,24.51496200719574,-0.9998510240408495,-10.799999999999997
전주,2021-10-03,26.561685303589847,-0.9994041405510705,-13.7
전주,2021-10-04,27.267695513271242,-0.9986594826804561,-9.100000000000001
전주,2021-10-05,25.576337244238644,-0.9976172723012476,-9.200000000000003
전주,2021-10-06,25.303330084053126,-0.9962778199420265,-12.200000000000003
전주,2021-10-07,23.308019190325936,-0.9946415246951927,-7.400000000000002
전주,2021-10-08,22.933517036178465,-0.992708874098054,-4.599999999999998
전주,2021-10-09,26.182000000000002,-0.9904804439875632,-10.8
전주,2021-10-10,26.08756867104709,-0.9879568983287464,-12.7
전주,2021-10-11,16.43420562498844,-0.9851389890168739,-5.200000000000001
전주,2021-10-12,17.9260260517624,-0.9820275556534303,-1.5999999999999996
전주,2021-10-13,22.008200000000002,-0.9786235252959552,-9.9
전주,2021-10-14,22.297264112220503,-0.9749279121818236,-8.5
전주,2021-10-15,20.379400000000004,-0.9709418174260521,-6.300000000000001
전주,2021-10-16,13.611303374801013,-0.9666664286932197,-10.899999999999999
전주,2021-10-17,7.548624386764615,-0.9621030198436005,-10.2
전주,2021-10-18,11.916751195996667,-0.9572529505536158,-15.500000000000002
전주,2021-10-19,12.748238809005304,-0.952117665910714,-9.200000000000001
전주,2021-10-20,11.607830144733827,-0.9466986959828061,-11.500000000000002
전주,2021-10-21,11.936394005267408,-0.9409976553623765,-11.5
전주,2021-10-22,12.011045445808673,-0.9350162426854148,-12.5
전주,2021-10-23,13.268531989543952,-0.9287562401253028,-14.099999999999998
전주,2021-10-24,13.667303819819438,-0.9222195128618105,-12.7
전주,2021-10-25,13.682531461741146,-0.9154080085253663,-12.2
전주,2021-10-26,14.581261688828587,-0.908323756616754,-13.9
전주,2021-10-27,15.089693721965876,-0.9009688679024196,-11.2
전주,2021-10-28,13.993031065889042,-0.8933455337855633,-13.700000000000001
전주,2021-10-29,16.373528031022914,-0.8854560256532098,-12.200000000000001
전주,2021-10-30,16.014991631685703,-0.8773026941994424,-8.700000000000001
전주,2021-10-31,16.219810194951005,-0.8688879687250066,-13.0
전주,2021-11-01,15.78413808157736,-0.8602143564135004,-8.3
전주,2021-11-02,13.496290252420092,-0.8512844415843515,-9.000000000000002
전주,2021-11-03,13.165032121494653,-0.8421008849228121,-11.100000000000001
전주,2021-11-04,15.417856443642206,-0.8326664226872064,-11.200000000000001
전주,2021-11-05,15.623803811150765,-0.822983865893656,-13.0
전주,2021-11-06,16.720075829868975,-0.8130560994785327,-14.3
